0,1000,0.000311
1,1000,0.000488
2,1000,0.000463
3,1000,0.000463
4,1000,0.000534
5,1000,0.000463
6,1000,0.000463
7,1000,0.000469
8,1000,0.000514
9,1000,0.000628
0,2000,0.000850
1,2000,0.001130
2,2000,0.001145
3,2000,0.000758
4,2000,0.000356
5,2000,0.000356
6,2000,0.000357
7,2000,0.000356
8,2000,0.000356
9,2000,0.000357
0,4000,0.000775
1,4000,0.000973
2,4000,0.000990
3,4000,0.000967
4,4000,0.000963
5,4000,0.000974
6,4000,0.000967
7,4000,0.000968
8,4000,0.000963
9,4000,0.000973
0,8000,0.002496
1,8000,0.002876
2,8000,0.002890
3,8000,0.002811
4,8000,0.002954
5,8000,0.002881
6,8000,0.002831
7,8000,0.002810
8,8000,0.002837
9,8000,0.002862
0,16000,0.009159
1,16000,0.009686
2,16000,0.009956
3,16000,0.009947
4,16000,0.009651
5,16000,0.009755
6,16000,0.009962
7,16000,0.009562
8,16000,0.009746
9,16000,0.009729
