0,1000,0.000618
1,1000,0.000440
2,1000,0.000436
3,1000,0.000433
4,1000,0.000432
5,1000,0.000431
6,1000,0.000431
7,1000,0.000433
8,1000,0.000435
9,1000,0.000445
0,2000,0.001158
1,2000,0.000911
2,2000,0.000909
3,2000,0.000916
4,2000,0.000904
5,2000,0.000901
6,2000,0.000910
7,2000,0.000910
8,2000,0.000509
9,2000,0.000227
0,4000,0.000588
1,4000,0.000453
2,4000,0.000449
3,4000,0.000448
4,4000,0.000448
5,4000,0.000447
6,4000,0.000449
7,4000,0.000452
8,4000,0.000446
9,4000,0.000447
0,8000,0.001208
1,8000,0.000943
2,8000,0.000946
3,8000,0.000941
4,8000,0.000940
5,8000,0.000942
6,8000,0.000943
7,8000,0.000939
8,8000,0.000976
9,8000,0.000942
0,16000,0.002608
1,16000,0.002005
2,16000,0.002011
3,16000,0.001972
4,16000,0.001990
5,16000,0.001967
6,16000,0.001974
7,16000,0.001982
8,16000,0.001975
9,16000,0.001975
